4, 
0, 159, 39, 
 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 
 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 
 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 
 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 
 1.1600, 1.1600, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1597, 1.1597, 1.1597, 1.1597, 1.1597, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 1.1595, 1.1595, 1.1595, 1.1595, 
 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1597, 1.1597, 1.1597, 1.1597, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 1.1596, 1.1595, 1.1595, 1.1595, 1.1595, 1.1595, 1.1595, 1.1595, 
 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1598, 1.1598, 1.1598, 1.1598, 1.1598, 1.1597, 1.1597, 1.1597, 1.1597, 1.1596, 1.1596, 1.1596, 1.1596, 1.1595, 1.1595, 1.1595, 1.1595, 1.1595, 1.1595, 1.1595, 1.1595, 1.1595, 
 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1598, 1.1598, 1.1598, 1.1598, 1.1597, 1.1597, 1.1597, 1.1597, 1.1596, 1.1596, 1.1596, 1.1596, 1.1595, 1.1595, 1.1595, 1.1595, 1.1595, 1.1594, 1.1594, 1.1594, 1.1594, 1.1594, 
 1.1601, 1.1601, 1.1601, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1599, 1.1599, 1.1599, 1.1599, 1.1599, 1.1598, 1.1598, 1.1598, 1.1597, 1.1597, 1.1597, 1.1597, 1.1596, 1.1596, 1.1596, 1.1595, 1.1595, 1.1595, 1.1595, 1.1594, 1.1594, 1.1594, 1.1594, 1.1594, 1.1594, 1.1594, 
 1.1601, 1.1601, 1.1601, 1.1601, 1.1601, 1.1601, 1.1601, 1.1601, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1599, 1.1599, 1.1599, 1.1599, 1.1598, 1.1598, 1.1598, 1.1597, 1.1597, 1.1597, 1.1596, 1.1596, 1.1596, 1.1595, 1.1595, 1.1595, 1.1594, 1.1594, 1.1594, 1.1594, 1.1594, 1.1593, 1.1593, 1.1593, 1.1593, 
 1.1601, 1.1601, 1.1601, 1.1601, 1.1601, 1.1601, 1.1601, 1.1601, 1.1601, 1.1601, 1.1600, 1.1600, 1.1600, 1.1600, 1.1600, 1.1599, 1.1599, 1.1599, 1.1598, 1.1598, 1.1598, 1.1597, 1.1597, 1.1597, 1.1596, 1.1596, 1.1595, 1.1595, 1.1595, 1.1594, 1.1594, 1.1594, 1.1594, 1.1593, 1.1593, 1.1593, 1.1593, 1.1593, 1.1593, 
 1.1602, 1.1602, 1.1602, 1.1601, 1.1601, 1.1601, 1.1601, 1.1601, 1.1601, 1.1601, 1.1601, 1.1600, 1.1600, 1.1600, 1.1600, 1.1599, 1.1599, 1.1599, 1.1598, 1.1598, 1.1598, 1.1597, 1.1597, 1.1596, 1.1596, 1.1596, 1.1595, 1.1595, 1.1594, 1.1594, 1.1594, 1.1593, 1.1593, 1.1593, 1.1593, 1.1593, 1.1592, 1.1592, 1.1592, 
 1.1602, 1.1602, 1.1602, 1.1602, 1.1602, 1.1602, 1.1602, 1.1601, 1.1601, 1.1601, 1.1601, 1.1601, 1.1600, 1.1600, 1.1600, 1.1600, 1.1599, 1.1599, 1.1598, 1.1598, 1.1598, 1.1597, 1.1597, 1.1596, 1.1596, 1.1595, 1.1595, 1.1595, 1.1594, 1.1594, 1.1593, 1.1593, 1.1593, 1.1593, 1.1592, 1.1592, 1.1592, 1.1592, 1.1592, 
 1.1602, 1.1602, 1.1602, 1.1602, 1.1602, 1.1602, 1.1602, 1.1602, 1.1602, 1.1601, 1.1601, 1.1601, 1.1601, 1.1600, 1.1600, 1.1600, 1.1599, 1.1599, 1.1598, 1.1598, 1.1598, 1.1597, 1.1597, 1.1596, 1.1596, 1.1595, 1.1595, 1.1594, 1.1594, 1.1593, 1.1593, 1.1593, 1.1592, 1.1592, 1.1592, 1.1592, 1.1591, 1.1591, 1.1591, 
 1.1603, 1.1603, 1.1603, 1.1603, 1.1603, 1.1603, 1.1602, 1.1602, 1.1602, 1.1602, 1.1602, 1.1601, 1.1601, 1.1601, 1.1600, 1.1600, 1.1599, 1.1599, 1.1598, 1.1598, 1.1597, 1.1597, 1.1596, 1.1596, 1.1595, 1.1595, 1.1594, 1.1594, 1.1593, 1.1593, 1.1593, 1.1592, 1.1592, 1.1592, 1.1591, 1.1591, 1.1591, 1.1591, 1.1591, 
 1.1603, 1.1603, 1.1603, 1.1603, 1.1603, 1.1603, 1.1603, 1.1603, 1.1602, 1.1602, 1.1602, 1.1602, 1.1601, 1.1601, 1.1600, 1.1600, 1.1599, 1.1599, 1.1598, 1.1598, 1.1597, 1.1597, 1.1596, 1.1596, 1.1595, 1.1595, 1.1594, 1.1594, 1.1593, 1.1593, 1.1592, 1.1592, 1.1591, 1.1591, 1.1591, 1.1591, 1.1590, 1.1590, 1.1590, 
 1.1604, 1.1604, 1.1604, 1.1604, 1.1604, 1.1604, 1.1603, 1.1603, 1.1603, 1.1603, 1.1602, 1.1602, 1.1601, 1.1601, 1.1601, 1.1600, 1.1600, 1.1599, 1.1598, 1.1598, 1.1597, 1.1597, 1.1596, 1.1596, 1.1595, 1.1594, 1.1594, 1.1593, 1.1593, 1.1592, 1.1592, 1.1591, 1.1591, 1.1591, 1.1590, 1.1590, 1.1590, 1.1590, 1.1590, 
 1.1605, 1.1605, 1.1604, 1.1604, 1.1604, 1.1604, 1.1604, 1.1604, 1.1603, 1.1603, 1.1603, 1.1602, 1.1602, 1.1601, 1.1601, 1.1600, 1.1600, 1.1599, 1.1598, 1.1598, 1.1597, 1.1597, 1.1596, 1.1595, 1.1595, 1.1594, 1.1593, 1.1593, 1.1592, 1.1592, 1.1591, 1.1591, 1.1590, 1.1590, 1.1590, 1.1590, 1.1589, 1.1589, 1.1589, 
 1.1605, 1.1605, 1.1605, 1.1605, 1.1605, 1.1605, 1.1604, 1.1604, 1.1604, 1.1603, 1.1603, 1.1603, 1.1602, 1.1601, 1.1601, 1.1600, 1.1600, 1.1599, 1.1598, 1.1598, 1.1597, 1.1596, 1.1596, 1.1595, 1.1594, 1.1594, 1.1593, 1.1592, 1.1592, 1.1591, 1.1591, 1.1590, 1.1590, 1.1590, 1.1589, 1.1589, 1.1589, 1.1589, 1.1589, 
 1.1606, 1.1606, 1.1606, 1.1606, 1.1606, 1.1605, 1.1605, 1.1605, 1.1604, 1.1604, 1.1603, 1.1603, 1.1602, 1.1602, 1.1601, 1.1601, 1.1600, 1.1599, 1.1598, 1.1598, 1.1597, 1.1596, 1.1596, 1.1595, 1.1594, 1.1593, 1.1593, 1.1592, 1.1591, 1.1591, 1.1590, 1.1590, 1.1589, 1.1589, 1.1589, 1.1588, 1.1588, 1.1588, 1.1588, 
 1.1607, 1.1607, 1.1607, 1.1607, 1.1606, 1.1606, 1.1606, 1.1605, 1.1605, 1.1604, 1.1604, 1.1603, 1.1603, 1.1602, 1.1601, 1.1601, 1.1600, 1.1599, 1.1598, 1.1598, 1.1597, 1.1596, 1.1595, 1.1595, 1.1594, 1.1593, 1.1592, 1.1592, 1.1591, 1.1590, 1.1590, 1.1589, 1.1589, 1.1588, 1.1588, 1.1588, 1.1588, 1.1587, 1.1587, 
 1.1608, 1.1608, 1.1608, 1.1607, 1.1607, 1.1607, 1.1606, 1.1606, 1.1605, 1.1605, 1.1604, 1.1604, 1.1603, 1.1602, 1.1602, 1.1601, 1.1600, 1.1599, 1.1598, 1.1598, 1.1597, 1.1596, 1.1595, 1.1594, 1.1593, 1.1593, 1.1592, 1.1591, 1.1590, 1.1590, 1.1589, 1.1589, 1.1588, 1.1588, 1.1587, 1.1587, 1.1587, 1.1587, 1.1587, 
 1.1609, 1.1609, 1.1608, 1.1608, 1.1608, 1.1608, 1.1607, 1.1607, 1.1606, 1.1605, 1.1605, 1.1604, 1.1603, 1.1603, 1.1602, 1.1601, 1.1600, 1.1599, 1.1598, 1.1597, 1.1597, 1.1596, 1.1595, 1.1594, 1.1593, 1.1592, 1.1591, 1.1591, 1.1590, 1.1589, 1.1589, 1.1588, 1.1588, 1.1587, 1.1587, 1.1587, 1.1586, 1.1586, 1.1586, 
 1.1610, 1.1610, 1.1609, 1.1609, 1.1609, 1.1608, 1.1608, 1.1607, 1.1607, 1.1606, 1.1605, 1.1605, 1.1604, 1.1603, 1.1602, 1.1601, 1.1600, 1.1599, 1.1598, 1.1597, 1.1596, 1.1595, 1.1594, 1.1593, 1.1593, 1.1592, 1.1591, 1.1590, 1.1589, 1.1589, 1.1588, 1.1587, 1.1587, 1.1587, 1.1586, 1.1586, 1.1586, 1.1585, 1.1585, 
 1.1611, 1.1611, 1.1611, 1.1610, 1.1610, 1.1609, 1.1609, 1.1608, 1.1608, 1.1607, 1.1606, 1.1605, 1.1604, 1.1603, 1.1602, 1.1601, 1.1600, 1.1599, 1.1598, 1.1597, 1.1596, 1.1595, 1.1594, 1.1593, 1.1592, 1.1591, 1.1590, 1.1590, 1.1589, 1.1588, 1.1587, 1.1587, 1.1586, 1.1586, 1.1585, 1.1585, 1.1585, 1.1585, 1.1584, 
 1.1612, 1.1612, 1.1612, 1.1611, 1.1611, 1.1610, 1.1610, 1.1609, 1.1608, 1.1608, 1.1607, 1.1606, 1.1605, 1.1604, 1.1603, 1.1601, 1.1600, 1.1599, 1.1598, 1.1597, 1.1596, 1.1595, 1.1594, 1.1593, 1.1592, 1.1591, 1.1590, 1.1589, 1.1588, 1.1587, 1.1587, 1.1586, 1.1586, 1.1585, 1.1585, 1.1584, 1.1584, 1.1584, 1.1584, 
 1.1614, 1.1614, 1.1613, 1.1613, 1.1612, 1.1612, 1.1611, 1.1610, 1.1609, 1.1608, 1.1607, 1.1606, 1.1605, 1.1604, 1.1603, 1.1602, 1.1600, 1.1599, 1.1598, 1.1597, 1.1596, 1.1594, 1.1593, 1.1592, 1.1591, 1.1590, 1.1589, 1.1588, 1.1587, 1.1587, 1.1586, 1.1585, 1.1585, 1.1584, 1.1584, 1.1584, 1.1583, 1.1583, 1.1583, 
 1.1615, 1.1615, 1.1614, 1.1614, 1.1614, 1.1613, 1.1612, 1.1611, 1.1610, 1.1609, 1.1608, 1.1607, 1.1606, 1.1604, 1.1603, 1.1602, 1.1600, 1.1599, 1.1598, 1.1596, 1.1595, 1.1594, 1.1593, 1.1592, 1.1590, 1.1589, 1.1588, 1.1588, 1.1587, 1.1586, 1.1585, 1.1584, 1.1584, 1.1583, 1.1583, 1.1583, 1.1582, 1.1582, 1.1582, 
 1.1617, 1.1617, 1.1616, 1.1616, 1.1615, 1.1614, 1.1613, 1.1612, 1.1611, 1.1610, 1.1609, 1.1607, 1.1606, 1.1605, 1.1603, 1.1602, 1.1600, 1.1599, 1.1598, 1.1596, 1.1595, 1.1593, 1.1592, 1.1591, 1.1590, 1.1589, 1.1588, 1.1587, 1.1586, 1.1585, 1.1584, 1.1584, 1.1583, 1.1583, 1.1582, 1.1582, 1.1582, 1.1581, 1.1581, 
 1.1619, 1.1619, 1.1618, 1.1617, 1.1617, 1.1616, 1.1615, 1.1614, 1.1612, 1.1611, 1.1610, 1.1608, 1.1607, 1.1605, 1.1604, 1.1602, 1.1600, 1.1599, 1.1597, 1.1596, 1.1594, 1.1593, 1.1592, 1.1590, 1.1589, 1.1588, 1.1587, 1.1586, 1.1585, 1.1584, 1.1583, 1.1583, 1.1582, 1.1582, 1.1581, 1.1581, 1.1581, 1.1580, 1.1580, 
 1.1621, 1.1621, 1.1620, 1.1619, 1.1618, 1.1617, 1.1616, 1.1615, 1.1614, 1.1612, 1.1610, 1.1609, 1.1607, 1.1605, 1.1604, 1.1602, 1.1600, 1.1599, 1.1597, 1.1595, 1.1594, 1.1592, 1.1591, 1.1590, 1.1588, 1.1587, 1.1586, 1.1585, 1.1584, 1.1583, 1.1582, 1.1582, 1.1581, 1.1581, 1.1580, 1.1580, 1.1580, 1.1579, 1.1579, 
 1.1623, 1.1623, 1.1622, 1.1621, 1.1620, 1.1619, 1.1618, 1.1616, 1.1615, 1.1613, 1.1611, 1.1610, 1.1608, 1.1606, 1.1604, 1.1602, 1.1600, 1.1598, 1.1597, 1.1595, 1.1593, 1.1592, 1.1590, 1.1589, 1.1587, 1.1586, 1.1585, 1.1584, 1.1583, 1.1582, 1.1581, 1.1581, 1.1580, 1.1579, 1.1579, 1.1579, 1.1578, 1.1578, 1.1578, 
 1.1625, 1.1625, 1.1624, 1.1623, 1.1622, 1.1621, 1.1620, 1.1618, 1.1616, 1.1614, 1.1612, 1.1610, 1.1608, 1.1606, 1.1604, 1.1602, 1.1600, 1.1598, 1.1596, 1.1594, 1.1593, 1.1591, 1.1589, 1.1588, 1.1587, 1.1585, 1.1584, 1.1583, 1.1582, 1.1581, 1.1580, 1.1579, 1.1579, 1.1578, 1.1578, 1.1577, 1.1577, 1.1577, 1.1577, 
 1.1628, 1.1628, 1.1627, 1.1626, 1.1624, 1.1623, 1.1621, 1.1620, 1.1618, 1.1616, 1.1613, 1.1611, 1.1609, 1.1607, 1.1604, 1.1602, 1.1600, 1.1598, 1.1596, 1.1594, 1.1592, 1.1590, 1.1588, 1.1587, 1.1585, 1.1584, 1.1583, 1.1582, 1.1581, 1.1580, 1.1579, 1.1578, 1.1578, 1.1577, 1.1577, 1.1576, 1.1576, 1.1575, 1.1575, 
 1.1631, 1.1631, 1.1629, 1.1628, 1.1627, 1.1625, 1.1624, 1.1621, 1.1619, 1.1617, 1.1614, 1.1612, 1.1609, 1.1607, 1.1604, 1.1602, 1.1600, 1.1597, 1.1595, 1.1593, 1.1591, 1.1589, 1.1587, 1.1586, 1.1584, 1.1583, 1.1582, 1.1580, 1.1579, 1.1578, 1.1578, 1.1577, 1.1576, 1.1576, 1.1575, 1.1575, 1.1575, 1.1574, 1.1574, 
 1.1635, 1.1634, 1.1633, 1.1631, 1.1630, 1.1628, 1.1626, 1.1623, 1.1621, 1.1618, 1.1615, 1.1613, 1.1610, 1.1607, 1.1604, 1.1602, 1.1599, 1.1597, 1.1594, 1.1592, 1.1590, 1.1588, 1.1586, 1.1585, 1.1583, 1.1582, 1.1580, 1.1579, 1.1578, 1.1577, 1.1576, 1.1575, 1.1575, 1.1574, 1.1574, 1.1573, 1.1573, 1.1572, 1.1572, 
 1.1639, 1.1638, 1.1636, 1.1635, 1.1633, 1.1631, 1.1628, 1.1626, 1.1623, 1.1620, 1.1617, 1.1613, 1.1610, 1.1607, 1.1604, 1.1601, 1.1599, 1.1596, 1.1593, 1.1591, 1.1589, 1.1587, 1.1585, 1.1583, 1.1582, 1.1580, 1.1579, 1.1577, 1.1576, 1.1575, 1.1575, 1.1574, 1.1573, 1.1573, 1.1572, 1.1572, 1.1572, 1.1571, 1.1571, 
 1.1643, 1.1643, 1.1640, 1.1639, 1.1636, 1.1634, 1.1631, 1.1628, 1.1625, 1.1621, 1.1618, 1.1614, 1.1611, 1.1607, 1.1604, 1.1601, 1.1598, 1.1595, 1.1592, 1.1590, 1.1588, 1.1585, 1.1583, 1.1582, 1.1580, 1.1578, 1.1577, 1.1576, 1.1575, 1.1574, 1.1573, 1.1572, 1.1571, 1.1571, 1.1570, 1.1570, 1.1570, 1.1569, 1.1569, 
 1.1648, 1.1648, 1.1645, 1.1643, 1.1640, 1.1637, 1.1634, 1.1630, 1.1627, 1.1623, 1.1619, 1.1615, 1.1611, 1.1607, 1.1604, 1.1600, 1.1597, 1.1594, 1.1591, 1.1589, 1.1586, 1.1584, 1.1582, 1.1580, 1.1578, 1.1577, 1.1575, 1.1574, 1.1573, 1.1572, 1.1571, 1.1570, 1.1570, 1.1569, 1.1569, 1.1568, 1.1568, 1.1567, 1.1567, 
 1.1654, 1.1654, 1.1650, 1.1648, 1.1645, 1.1641, 1.1637, 1.1633, 1.1629, 1.1624, 1.1620, 1.1615, 1.1611, 1.1607, 1.1603, 1.1599, 1.1596, 1.1593, 1.1590, 1.1587, 1.1584, 1.1582, 1.1580, 1.1578, 1.1576, 1.1575, 1.1573, 1.1572, 1.1571, 1.1570, 1.1569, 1.1568, 1.1568, 1.1567, 1.1567, 1.1566, 1.1566, 1.1565, 1.1566, 
 1.1661, 1.1661, 1.1657, 1.1654, 1.1650, 1.1645, 1.1641, 1.1636, 1.1630, 1.1625, 1.1620, 1.1615, 1.1611, 1.1606, 1.1602, 1.1598, 1.1594, 1.1591, 1.1588, 1.1585, 1.1582, 1.1580, 1.1578, 1.1576, 1.1574, 1.1573, 1.1571, 1.1570, 1.1569, 1.1568, 1.1567, 1.1566, 1.1566, 1.1565, 1.1565, 1.1564, 1.1564, 1.1563, 1.1564, 
 1.1670, 1.1669, 1.1664, 1.1660, 1.1655, 1.1650, 1.1644, 1.1638, 1.1632, 1.1626, 1.1621, 1.1615, 1.1610, 1.1605, 1.1601, 1.1597, 1.1593, 1.1589, 1.1586, 1.1583, 1.1580, 1.1578, 1.1576, 1.1574, 1.1572, 1.1570, 1.1569, 1.1568, 1.1567, 1.1566, 1.1565, 1.1564, 1.1564, 1.1563, 1.1563, 1.1562, 1.1562, 1.1561, 1.1561, 
 1.1680, 1.1678, 1.1672, 1.1668, 1.1662, 1.1655, 1.1648, 1.1641, 1.1634, 1.1627, 1.1621, 1.1615, 1.1609, 1.1604, 1.1599, 1.1595, 1.1591, 1.1587, 1.1584, 1.1580, 1.1578, 1.1575, 1.1573, 1.1571, 1.1569, 1.1568, 1.1566, 1.1565, 1.1564, 1.1563, 1.1562, 1.1562, 1.1561, 1.1561, 1.1560, 1.1560, 1.1560, 1.1559, 1.1559, 
 1.1692, 1.1690, 1.1682, 1.1676, 1.1668, 1.1660, 1.1652, 1.1643, 1.1635, 1.1628, 1.1620, 1.1614, 1.1608, 1.1602, 1.1597, 1.1592, 1.1588, 1.1584, 1.1581, 1.1578, 1.1575, 1.1572, 1.1570, 1.1568, 1.1567, 1.1565, 1.1564, 1.1563, 1.1562, 1.1561, 1.1560, 1.1559, 1.1559, 1.1558, 1.1558, 1.1558, 1.1558, 1.1557, 1.1557, 
 1.1707, 1.1704, 1.1694, 1.1686, 1.1676, 1.1665, 1.1655, 1.1645, 1.1636, 1.1627, 1.1619, 1.1612, 1.1605, 1.1599, 1.1594, 1.1589, 1.1585, 1.1581, 1.1578, 1.1575, 1.1572, 1.1569, 1.1567, 1.1565, 1.1564, 1.1562, 1.1561, 1.1560, 1.1559, 1.1558, 1.1557, 1.1557, 1.1556, 1.1556, 1.1556, 1.1555, 1.1555, 1.1554, 1.1554, 
 1.1727, 1.1722, 1.1708, 1.1697, 1.1683, 1.1670, 1.1656, 1.1645, 1.1635, 1.1626, 1.1617, 1.1609, 1.1602, 1.1596, 1.1591, 1.1586, 1.1581, 1.1577, 1.1574, 1.1571, 1.1568, 1.1566, 1.1564, 1.1562, 1.1560, 1.1559, 1.1558, 1.1557, 1.1556, 1.1555, 1.1555, 1.1554, 1.1554, 1.1553, 1.1553, 1.1553, 1.1553, 1.1552, 1.1552, 
 1.1752, 1.1744, 1.1725, 1.1707, 1.1689, 1.1673, 1.1658, 1.1646, 1.1634, 1.1623, 1.1614, 1.1606, 1.1598, 1.1592, 1.1586, 1.1581, 1.1577, 1.1573, 1.1570, 1.1567, 1.1564, 1.1562, 1.1560, 1.1558, 1.1557, 1.1556, 1.1555, 1.1554, 1.1553, 1.1552, 1.1552, 1.1551, 1.1551, 1.1551, 1.1550, 1.1550, 1.1550, 1.1549, 1.1549, 
 1.1784, 1.1768, 1.1739, 1.1711, 1.1689, 1.1673, 1.1657, 1.1643, 1.1630, 1.1619, 1.1609, 1.1601, 1.1593, 1.1587, 1.1581, 1.1576, 1.1572, 1.1568, 1.1565, 1.1562, 1.1560, 1.1558, 1.1556, 1.1555, 1.1553, 1.1552, 1.1551, 1.1550, 1.1550, 1.1549, 1.1549, 1.1548, 1.1548, 1.1548, 1.1548, 1.1547, 1.1547, 1.1546, 1.1547, 
 1.1825, 1.1802, 1.1766, 1.1727, 1.1698, 1.1676, 1.1656, 1.1638, 1.1624, 1.1613, 1.1603, 1.1594, 1.1587, 1.1581, 1.1575, 1.1571, 1.1567, 1.1563, 1.1560, 1.1558, 1.1555, 1.1553, 1.1552, 1.1550, 1.1549, 1.1548, 1.1548, 1.1547, 1.1546, 1.1546, 1.1545, 1.1545, 1.1545, 1.1545, 1.1545, 1.1545, 1.1545, 1.1544, 1.1544, 
